id;nom_thickness;nom_current;nom_3D;nom_data;DDC_target_A_dm2;j0_A_m2;alpha;E_eq_V;sigma_S_m;c_Ni2_M;time_s;efficiency;cell_height_mm;lc_mm;DDC_obtained_A_dm2;V_anode_V;j_min_A_m2;j_avg_A_m2;j_max_A_m2;thickness_min_um;thickness_avg_um;thickness_max_um;CV_percent;cathode_area_mm2;elapsed_time_s;status
068;068_ED_thickness_map.png;068_ED_current_density.png;068_ED_3D_iso.png;068_ED_data.npz;5,0000;0,7000;0,7500;-0,2600;30,0000;1,0000;60,0000;0,9800;4,0000;0,0600;5,0034;-0,4426;407,4936;500,3406;616,7143;0,8181;1,0045;1,2381;8,5979;13,5198;100,4088;OK
069;069_ED_thickness_map.png;069_ED_current_density.png;069_ED_3D_iso.png;069_ED_data.npz;5,0000;0,7000;0,7500;-0,2600;30,0000;1,0000;90,0000;0,9800;4,0000;0,0600;5,0034;-0,4426;407,4936;500,3406;616,7143;1,2271;1,5067;1,8571;8,5979;13,5198;99,3814;OK
070;070_ED_thickness_map.png;070_ED_current_density.png;070_ED_3D_iso.png;070_ED_data.npz;5,0000;0,7000;0,7500;-0,2600;50,0000;1,0000;30,0000;0,9800;4,0000;0,0600;4,9388;-0,4367;431,7005;493,8845;561,7429;0,4333;0,4958;0,5639;5,5749;13,5198;95,6569;OK
071;071_ED_thickness_map.png;071_ED_current_density.png;071_ED_3D_iso.png;071_ED_data.npz;5,0000;0,7000;0,7500;-0,2600;50,0000;1,0000;60,0000;0,9800;4,0000;0,0600;4,9388;-0,4367;431,7005;493,8845;561,7429;0,8667;0,9915;1,1277;5,5749;13,5198;96,5532;OK
072;072_ED_thickness_map.png;072_ED_current_density.png;072_ED_3D_iso.png;072_ED_data.npz;5,0000;0,7000;0,7500;-0,2600;50,0000;1,0000;90,0000;0,9800;4,0000;0,0600;4,9388;-0,4367;431,7005;493,8845;561,7429;1,3000;1,4873;1,6916;5,5749;13,5198;97,3804;OK
073;073_ED_thickness_map.png;073_ED_current_density.png;073_ED_3D_iso.png;073_ED_data.npz;5,0000;1,1000;0,7500;-0,2600;10,0000;1,0000;30,0000;0,9800;4,0000;0,0600;4,9287;-0,4563;320,4389;492,8680;847,3749;0,3217;0,4947;0,8506;19,6055;13,5198;88,1710;OK
074;074_ED_thickness_map.png;074_ED_current_density.png;074_ED_3D_iso.png;074_ED_data.npz;5,0000;1,1000;0,7500;-0,2600;10,0000;1,0000;60,0000;0,9800;4,0000;0,0600;4,9287;-0,4563;320,4389;492,8680;847,3749;0,6433;0,9895;1,7012;19,6055;13,5198;88,2781;OK
075;075_ED_thickness_map.png;075_ED_current_density.png;075_ED_3D_iso.png;075_ED_data.npz;5,0000;1,1000;0,7500;-0,2600;10,0000;1,0000;90,0000;0,9800;4,0000;0,0600;4,9287;-0,4563;320,4389;492,8680;847,3749;0,9650;1,4842;2,5518;19,6055;13,5198;142,2563;OK
076;076_ED_thickness_map.png;076_ED_current_density.png;076_ED_3D_iso.png;076_ED_data.npz;5,0000;1,1000;0,7500;-0,2600;30,0000;1,0000;30,0000;0,9800;4,0000;0,0600;4,9893;-0,4309;406,4629;498,9334;614,6926;0,4080;0,5008;0,6170;8,5834;13,5198;170,4524;OK
077;077_ED_thickness_map.png;077_ED_current_density.png;077_ED_3D_iso.png;077_ED_data.npz;5,0000;1,1000;0,7500;-0,2600;30,0000;1,0000;60,0000;0,9800;4,0000;0,0600;4,9893;-0,4309;406,4629;498,9334;614,6926;0,8160;1,0016;1,2340;8,5834;13,5198;160,8754;OK
078;078_ED_thickness_map.png;078_ED_current_density.png;078_ED_3D_iso.png;078_ED_data.npz;5,0000;1,1000;0,7500;-0,2600;30,0000;1,0000;90,0000;0,9800;4,0000;0,0600;4,9893;-0,4309;406,4629;498,9334;614,6926;1,2240;1,5025;1,8511;8,5834;13,5198;162,5663;OK
079;079_ED_thickness_map.png;079_ED_current_density.png;079_ED_3D_iso.png;079_ED_data.npz;5,0000;1,1000;0,7500;-0,2600;50,0000;1,0000;30,0000;0,9800;4,0000;0,0600;4,9232;-0,4250;430,4879;492,3247;559,7565;0,4321;0,4942;0,5619;5,5601;13,5198;111,1904;OK
080;080_ED_thickness_map.png;080_ED_current_density.png;080_ED_3D_iso.png;080_ED_data.npz;5,0000;1,1000;0,7500;-0,2600;50,0000;1,0000;60,0000;0,9800;4,0000;0,0600;4,9232;-0,4250;430,4879;492,3247;559,7565;0,8642;0,9884;1,1238;5,5601;13,5198;111,7905;OK
081;081_ED_thickness_map.png;081_ED_current_density.png;081_ED_3D_iso.png;081_ED_data.npz;5,0000;1,1000;0,7500;-0,2600;50,0000;1,0000;90,0000;0,9800;4,0000;0,0600;4,9232;-0,4250;430,4879;492,3247;559,7565;1,2964;1,4826;1,6856;5,5601;13,5198;109,3594;OK
082;082_ED_thickness_map.png;082_ED_current_density.png;082_ED_3D_iso.png;082_ED_data.npz;10,0000;0,3000;0,2500;-0,2600;10,0000;1,0000;30,0000;0,9800;4,0000;0,0600;10,0656;-0,5461;537,0852;1006,5558;2629,1892;0,5391;1,0104;2,6391;33,5012;13,5198;176,9930;OK
083;083_ED_thickness_map.png;083_ED_current_density.png;083_ED_3D_iso.png;083_ED_data.npz;10,0000;0,3000;0,2500;-0,2600;10,0000;1,0000;60,0000;0,9800;4,0000;0,0600;10,0656;-0,5461;537,0852;1006,5558;2629,1892;1,0782;2,0207;5,2783;33,5012;13,5198;328,5330;OK
